iter	Passed	Remaining
0	35	70598
1	71	71507
2	94	63024
3	117	58667
4	156	62625
5	204	68066
6	251	71565
7	274	68388
8	291	64583
9	334	66468
10	408	73867
11	604	100130
12	659	100807
13	702	99608
14	745	98714
15	798	98992
16	843	98360
17	888	97826
18	932	97255
19	978	96883
20	1021	96281
21	1067	96010
22	1107	95233
23	1155	95154
24	1194	94392
25	1234	93716
26	1275	93178
27	1324	93271
28	1364	92724
29	1403	92165
30	1453	92305
31	1495	91954
32	1541	91853
33	1588	91855
34	1674	93998
35	1860	101513
36	1905	101115
37	1949	100671
38	1992	100195
39	2036	99792
40	2085	99653
41	2144	99957
42	2188	99599
43	2237	99485
44	2280	99071
45	2323	98702
46	2388	99235
47	2442	99315
48	2493	99271
49	2538	99019
50	2582	98694
51	2629	98489
52	2674	98253
53	2722	98113
54	2778	98248
55	2825	98087
56	2913	99310
57	3112	104211
58	3156	103850
59	3197	103389
60	3243	103088
61	3286	102722
62	3330	102401
63	3378	102207
64	3427	102044
65	3476	101867
66	3526	101733
67	3583	101809
68	3631	101629
69	3676	101355
70	3730	101350
71	3776	101123
72	3822	100899
73	3869	100721
74	3909	100351
75	3948	99970
76	3996	99816
77	4043	99629
78	4089	99441
79	4247	101933
80	4363	103386
81	4410	103174
82	4453	102867
83	4496	102562
84	4540	102288
85	4585	102052
86	4627	101759
87	4673	101534
88	4722	101391
89	4769	101221
90	4816	101043
91	4863	100869
92	4906	100616
93	4946	100289
94	4984	99959
95	5040	99965
96	5080	99676
97	5120	99369
98	5158	99060
99	5200	98812
100	5239	98511
101	5281	98280
102	5329	98161
103	5467	99670
104	5604	101142
105	5646	100885
106	5687	100617
107	5733	100446
108	5783	100344
109	5830	100179
110	5872	99938
111	5918	99761
112	5962	99575
113	6015	99523
114	6061	99356
115	6101	99096
116	6141	98848
117	6181	98589
118	6221	98340
119	6260	98085
120	6313	98037
121	6351	97776
122	6393	97562
123	6440	97433
124	6489	97344
125	6544	97338
126	6722	99148
127	6936	101441
128	6977	101198
129	7019	100967
130	7061	100753
131	7103	100530
132	7149	100361
133	7192	100159
134	7236	99976
135	7285	99849
136	7331	99700
137	7377	99540
138	7424	99403
139	7472	99279
140	7510	99027
141	7551	98810
142	7591	98581
143	7646	98557
144	7687	98341
145	7744	98339
146	7781	98094
147	7823	97897
148	7868	97745
149	7919	97671
150	7961	97487
