iter	Passed	Remaining
0	128	256767
1	253	253545
2	288	191881
3	416	207698
4	554	221058
5	690	229321
6	721	205321
7	766	190818
8	904	199993
9	1056	210291
10	1198	216631
11	1339	221916
12	1488	227495
13	1640	232718
14	1675	221666
15	1706	211607
16	1727	201518
17	1883	207350
18	2050	213820
19	2086	206593
20	2106	198491
21	2134	191889
22	2288	196707
23	2430	200139
24	2572	203243
25	2711	205889
26	2848	208184
27	2871	202232
28	2883	195945
29	3020	198313
30	3153	200296
31	3288	202234
32	3423	204081
33	3565	206174
34	3583	201190
35	3716	202730
36	3847	204100
37	3857	199182
38	3996	200933
39	4138	202786
40	4277	204374
41	4423	206209
42	4554	207273
43	4689	208449
44	4706	204492
45	4841	205648
46	4984	207110
47	5130	208643
48	5265	209654
49	5395	210418
50	5455	208496
51	5467	204813
52	5597	205620
53	5614	202330
54	5758	203655
55	5887	204382
56	6019	205198
57	6031	201938
58	6169	202967
59	6298	203647
60	6433	204490
61	6570	205393
62	6702	206067
63	6831	206642
64	6851	203955
65	6862	201080
66	6898	199032
67	7035	199889
68	7163	200461
69	7285	200863
70	7385	200659
71	7505	200993
72	7634	201524
73	7763	202055
74	7822	200786
75	7943	201088
76	8063	201383
77	8198	202017
78	8219	199859
79	8341	200184
80	8462	200487
81	8581	200718
82	8600	198634
83	8729	199123
84	8745	197032
85	8865	197303
86	8894	195574
87	9019	195976
88	9140	196255
89	9291	197176
90	9427	197760
91	9451	196017
92	9592	196705
93	9732	197350
94	9874	198010
95	9906	196477
96	10050	197182
97	10197	197916
98	10332	198407
99	10457	198698
100	10587	199073
101	10599	197238
102	10742	197841
103	10888	198506
104	11034	199139
105	11059	197604
106	11110	196569
107	11244	196990
108	11378	197405
109	11506	197699
110	11641	198114
111	11768	198379
112	11898	198690
113	12032	199060
114	12155	199245
115	12308	199906
116	12434	200126
117	12559	200314
118	12685	200512
119	12820	200858
120	12947	201054
121	13073	201251
122	13193	201333
123	13223	200054
124	13356	200351
125	13483	200546
126	13611	200736
127	13733	200850
128	13754	199498
129	13874	199579
130	13884	198094
131	14007	198225
132	14133	198399
133	14262	198614
134	14394	198861
135	14518	198989
136	14652	199247
137	14775	199356
138	14895	199422
139	15023	199596
140	15153	199792
141	15176	198576
142	15220	197647
143	15352	197879
144	15481	198050
145	15608	198207
146	15619	196886
147	15748	197074
148	15882	197299
149	15914	196276
150	16049	196525
151	16188	196821
152	16310	196898
153	16436	197024
154	16562	197144
155	16691	197300
156	16818	197427
157	16945	197559
158	17083	197805
159	17207	197891
160	17341	198079
161	17492	198459
162	17630	198689
163	17765	198888
164	17887	198932
165	17902	197791
166	18035	197957
167	18163	198071
168	18283	198093
169	18413	198219
170	18533	198229
171	18649	198204
172	18765	198181
173	18890	198240
174	19018	198331
175	19033	197257
176	19155	197289
177	19279	197347
178	19415	197521
179	19554	197721
180	19676	197746
181	19793	197714
182	19826	196853
183	19853	195946
184	19978	196008
185	20006	195119
186	20134	195204
187	20259	195267
188	20270	194229
189	20291	193299
190	20413	193335
191	20550	193521
192	20672	193553
193	20795	193589
194	20920	193652
195	21048	193727
196	21057	192727
197	21186	192820
198	21308	192851
199	21433	192898
200	21573	193084
201	21706	193208
202	21832	193270
203	21879	192621
204	22001	192650
205	22131	192738
206	22151	191871
207	22270	191868
208	22401	191965
209	22417	191084
210	22553	191224
211	22682	191300
212	22809	191365
213	22929	191361
214	22969	190697
215	23100	190795
216	23238	190944
217	23384	191151
218	23408	190368
219	23558	190607
220	23716	190908
221	23765	190335
222	23907	190511
223	23937	189792
224	24078	189951
225	24095	189142
226	24246	189379
227	24373	189432
228	24525	189674
229	24676	189902
230	24817	190050
231	24953	190160
232	25093	190300
233	25108	189493
234	25262	189735
235	25273	188907
236	25413	189045
237	25550	189161
238	25721	189524
239	25885	189825
240	25917	189163
241	25943	188463
242	26084	188601
243	26235	188812
244	26259	188106
245	26386	188135
246	26523	188240
247	26534	187452
248	26706	187806
249	26833	187832
250	26983	188024
251	27025	187464
252	27173	187638
253	27313	187754
254	27340	187091
255	27464	187101
256	27595	187156
257	27612	186436
258	27762	186618
259	27897	186698
260	28033	186785
261	28170	186874
262	28302	186924
263	28319	186223
264	28341	185554
265	28487	185707
266	28611	185705
267	28626	185001
268	28769	185127
269	28913	185263
270	29044	185304
271	29172	185333
272	29299	185351
273	29431	185398
274	29560	185424
275	29677	185375
276	29820	185490
277	29949	185514
278	30081	185558
279	30207	185563
280	30338	185596
281	30476	185668
282	30608	185703
283	30736	185717
284	30868	185754
285	30997	185769
286	31132	185816
287	31257	185809
288	31380	185783
289	31509	185800
290	31525	185144
291	31555	184577
292	31675	184537
293	31810	184587
294	31934	184571
295	32058	184553
296	32179	184518
297	32301	184486
298	32429	184488
299	32563	184526
300	32691	184529
301	32822	184547
302	32967	184639
303	33108	184712
304	33232	184688
305	33360	184681
306	33493	184702
307	33617	184678
308	33742	184653
309	33757	184034
310	33827	183712
311	33967	183772
312	34094	183763
313	34221	183752
314	34347	183731
315	34469	183693
316	34594	183665
317	34717	183632
318	34846	183627
319	34983	183662
320	34999	183067
321	35128	183059
322	35256	183051
323	35388	183057
324	35519	183060
325	35647	183050
326	35771	183015
327	35912	183068
328	36044	183072
329	36176	183077
330	36300	183039
331	36436	183061
332	36572	183084
333	36718	183154
334	36856	183183
335	37002	183248
336	37161	183382
337	37355	183682
338	37512	183798
339	37640	183776
340	37767	183742
341	37890	183689
342	38030	183720
343	38156	183685
344	38286	183665
345	38410	183614
346	38532	183558
347	38662	183533
348	38781	183462
349	38920	183481
350	39064	183526
351	39191	183488
352	39322	183466
