iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.7633469077	0.653686514	0.6279614122	0.1445374801	0.9731543624	0.9731543624
1	0.7596365346	0.6400831162	0.6224063986	0.1416309013	0.9744966443	0.9744966443
2	0.7603931332	0.6116519775	0.6234229008	0.1421578226	0.9744966443	0.9744966443
3	0.7585931728	0.5983244857	0.6246026013	0.1427721004	0.9657718121	0.9657718121
4	0.7610798935	0.5815043214	0.6260109136	0.1435093291	0.9704697987	0.9704697987
5	0.7588734902	0.5794864986	0.6249827676	0.1429706905	0.9657718121	0.9657718121
6	0.7605220475	0.5763807561	0.6260950748	0.1435535217	0.9684563758	0.9684563758
7	0.7638870123	0.5735045897	0.6289731946	0.1450740889	0.9724832215	0.9724832215
8	0.7590807267	0.5705802887	0.6266786067	0.1438603531	0.9624161074	0.9624161074
9	0.7625632995	0.5689153177	0.6269015159	0.1439777579	0.9731543624	0.9731543624
10	0.7636461029	0.5641752181	0.6269752723	0.1440166287	0.9765100671	0.9765100671
11	0.7638835676	0.5610747852	0.6275727454	0.1443319436	0.9758389262	0.9758389262
12	0.7646705232	0.5598438826	0.6283575616	0.144747314	0.9765100671	0.9765100671
13	0.7657442212	0.5578653003	0.6289742068	0.1450746269	0.9785234899	0.9785234899
14	0.7672760462	0.5554617644	0.6313232881	0.1463292156	0.977852349	0.977852349
15	0.7700707039	0.5538584366	0.633150004	0.1473133427	0.9825503356	0.9825503356
16	0.7721260785	0.5519807461	0.6362151523	0.1489816701	0.9818791946	0.9818791946
17	0.7723659468	0.5433831544	0.6359780673	0.1488518594	0.9832214765	0.9832214765
18	0.7724908096	0.5423372812	0.6364286668	0.1490986862	0.9825503356	0.9825503356
19	0.7724500099	0.5418940848	0.6363732827	0.149068323	0.9825503356	0.9825503356
20	0.7721441493	0.5413746144	0.635958209	0.1488409923	0.9825503356	0.9825503356
21	0.7740503207	0.5388343011	0.6374197376	0.1496432212	0.9852348993	0.9852348993
22	0.7740503207	0.5386919945	0.6374197376	0.1496432212	0.9852348993	0.9852348993
23	0.7748599068	0.5376758406	0.6379559708	0.1499388005	0.9865771812	0.9865771812
24	0.7751666654	0.5360431384	0.6383719513	0.1501685565	0.9865771812	0.9865771812
25	0.7761961351	0.5355115419	0.6389256814	0.150475023	0.988590604	0.988590604
26	0.7774794095	0.5331675382	0.6412315714	0.1517590013	0.9872483221	0.9872483221
27	0.7773149088	0.5326204101	0.6410078075	0.1516338522	0.9872483221	0.9872483221
28	0.7777283617	0.5263350832	0.6407228827	0.1514746686	0.989261745	0.989261745
29	0.7781599037	0.5260459026	0.6413088776	0.1518022657	0.989261745	0.989261745
30	0.779230548	0.5247911809	0.6427645362	0.15261959	0.989261745	0.989261745
31	0.7788322625	0.5241459442	0.642789697	0.1526337619	0.9879194631	0.9879194631
32	0.7802866124	0.5199768971	0.6450596029	0.1539185937	0.9872483221	0.9872483221
33	0.7802658973	0.5192988714	0.6450312888	0.1539024901	0.9872483221	0.9872483221
34	0.7805434155	0.5187376658	0.6456978486	0.1542821159	0.9865771812	0.9865771812
35	0.78135325	0.5175300681	0.6468069873	0.1549162188	0.9865771812	0.9865771812
36	0.7817483939	0.5163657028	0.6473487184	0.1552270327	0.9865771812	0.9865771812
37	0.782947267	0.5155687431	0.6487044434	0.1560080602	0.9872483221	0.9872483221
38	0.7828012935	0.5154335245	0.6485040519	0.1558923273	0.9872483221	0.9872483221
39	0.784033348	0.5137004455	0.6501969526	0.1568732004	0.9872483221	0.9872483221
40	0.785269287	0.5123999132	0.6518987149	0.157866495	0.9872483221	0.9872483221
41	0.7870567433	0.510673458	0.6543661272	0.159319831	0.9872483221	0.9872483221
42	0.7870822515	0.5093697508	0.6549924944	0.1596912708	0.9859060403	0.9859060403
43	0.7878005385	0.5086409415	0.6559879544	0.1602836879	0.9859060403	0.9859060403
44	0.7881390098	0.5077266142	0.6564574539	0.1605639961	0.9859060403	0.9859060403
45	0.7879697378	0.5076102577	0.6562226202	0.1604237196	0.9859060403	0.9859060403
46	0.7887459955	0.5056518224	0.6575987379	0.1612478032	0.9852348993	0.9852348993
47	0.7905104129	0.5041538546	0.6600553006	0.1627314045	0.9852348993	0.9852348993
48	0.7910860828	0.5029308853	0.6608583845	0.1632199244	0.9852348993	0.9852348993
49	0.7919720392	0.5024287079	0.6614910558	0.16360601	0.9865771812	0.9865771812
50	0.7921051893	0.5022865645	0.6613753133	0.1635352974	0.9872483221	0.9872483221
51	0.7936880995	0.5004444977	0.6635853442	0.1648918283	0.9872483221	0.9872483221
52	0.7935380939	0.5004053938	0.6633756549	0.1647625448	0.9872483221	0.9872483221
53	0.7954307784	0.49901002	0.6657201995	0.1662149955	0.9879194631	0.9879194631
54	0.7956433462	0.498306992	0.6663234177	0.1665911665	0.9872483221	0.9872483221
55	0.795535665	0.4983011256	0.6661723876	0.1664968874	0.9872483221	0.9872483221
56	0.7960959258	0.4975889794	0.6669584927	0.1669883074	0.9872483221	0.9872483221
57	0.7975676089	0.4960644222	0.6684119653	0.167901516	0.988590604	0.988590604
58	0.7994092726	0.4947599918	0.6700785762	0.168956044	0.9906040268	0.9906040268
59	0.7995610185	0.4939555851	0.6705994739	0.1692872719	0.9899328859	0.9899328859
60	0.7994308829	0.4939410151	0.6704164104	0.1691707765	0.9899328859	0.9899328859
61	0.7997999006	0.4925427294	0.6712442615	0.1696983652	0.989261745	0.989261745
62	0.8008220686	0.4914773058	0.6726854724	0.1706215997	0.989261745	0.989261745
63	0.8011270494	0.4913030092	0.6731159663	0.1708985507	0.989261745	0.989261745
64	0.8025023426	0.4902879886	0.6750600273	0.1721560383	0.989261745	0.989261745
65	0.802677321	0.490203601	0.675307696	0.1723170447	0.989261745	0.989261745
66	0.803421831	0.4892420286	0.6763623185	0.1730046948	0.989261745	0.989261745
67	0.806289448	0.4877199198	0.6794876173	0.1750622259	0.9912751678	0.9912751678
68	0.8068897212	0.4865500432	0.680657182	0.1758398856	0.9906040268	0.9906040268
69	0.8075304721	0.4857794005	0.681569581	0.1764494919	0.9906040268	0.9906040268
70	0.8077572952	0.4856101164	0.6822111829	0.1768797218	0.9899328859	0.9899328859
71	0.8086376083	0.4843709124	0.6831484404	0.1775105232	0.9906040268	0.9906040268
72	0.8096880645	0.4832480096	0.6849701865	0.1787445468	0.9899328859	0.9899328859
73	0.8106980489	0.4814353876	0.6867401055	0.1799536076	0.989261745	0.989261745
74	0.8106164256	0.4811109066	0.6869466607	0.1800953662	0.988590604	0.988590604
75	0.8115386858	0.4805732041	0.6876232203	0.1805606561	0.9899328859	0.9899328859
76	0.8121201398	0.4797263716	0.6884585236	0.181137173	0.9899328859	0.9899328859
77	0.8124648916	0.4792648476	0.6892796275	0.1817061144	0.989261745	0.989261745
78	0.8137768223	0.4778477553	0.6914982703	0.1832545409	0.988590604	0.988590604
79	0.8155587224	0.4764412395	0.6934153667	0.1846057572	0.9899328859	0.9899328859
80	0.8151634859	0.4760642153	0.6931732651	0.1844344344	0.989261745	0.989261745
81	0.8151183625	0.4760618363	0.6931080107	0.1843882912	0.989261745	0.989261745
82	0.8164172683	0.4750620595	0.6946575633	0.1854879276	0.9899328859	0.9899328859
83	0.8174714259	0.4742695262	0.6965176105	0.1868187579	0.989261745	0.989261745
84	0.8172795747	0.474228236	0.6965719206	0.1868577953	0.988590604	0.988590604
85	0.818039093	0.4738668315	0.6973422329	0.1874125874	0.989261745	0.989261745
86	0.8193225588	0.4726366884	0.6988747477	0.1885224949	0.9899328859	0.9899328859
87	0.8203260339	0.471563327	0.7003362555	0.1895886889	0.9899328859	0.9899328859
88	0.8206686897	0.4710503313	0.7008358949	0.1899549259	0.9899328859	0.9899328859
89	0.8212404193	0.47026966	0.7016702134	0.1905684755	0.9899328859	0.9899328859
90	0.821782628	0.4692375575	0.7028005523	0.1914037138	0.989261745	0.989261745
91	0.8222502636	0.4679690661	0.7041652413	0.1924183007	0.9879194631	0.9879194631
92	0.8233026723	0.4665094543	0.7060531949	0.1938331796	0.9872483221	0.9872483221
93	0.8236487588	0.4659018966	0.7065624098	0.1942170584	0.9872483221	0.9872483221
94	0.8241106604	0.4652854119	0.7072425066	0.1947312682	0.9872483221	0.9872483221
95	0.8260840957	0.4634449133	0.7098074604	0.196686264	0.9879194631	0.9879194631
96	0.8264511999	0.463026868	0.7106970934	0.1973701865	0.9872483221	0.9872483221
97	0.8275287848	0.4626467742	0.7115952305	0.1980637354	0.988590604	0.988590604
98	0.8285305406	0.4618244641	0.7130779886	0.1992155802	0.988590604	0.988590604
99	0.829134922	0.4608235567	0.7143242929	0.2001903985	0.9879194631	0.9879194631
