iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8257350277	0.6691578038	0.7348451464	0.2171693735	0.9422818792	0.9422818792
1	0.8293874271	0.6489503684	0.7189742836	0.2038821394	0.9798657718	0.9798657718
2	0.8282723566	0.6290275387	0.7102737244	0.197044335	0.9932885906	0.9932885906
3	0.8410390698	0.6159515159	0.7307133425	0.2136034732	0.9906040268	0.9906040268
4	0.834001114	0.6094601737	0.7212211526	0.2056975283	0.988590604	0.988590604
5	0.8269554242	0.5981864208	0.7100555314	0.1968766684	0.9899328859	0.9899328859
6	0.8207762426	0.5869229943	0.7003212694	0.1895777179	0.9912751678	0.9912751678
7	0.8445157947	0.5704612165	0.7319553956	0.2146672441	0.9979865772	0.9979865772
8	0.8589702308	0.5588648685	0.7539477188	0.2347277032	0.9979865772	0.9979865772
9	0.8668887225	0.5468381961	0.7666304788	0.2474604496	0.9973154362	0.9973154362
10	0.8636609544	0.5462854995	0.7615962085	0.2422957769	0.9973154362	0.9973154362
11	0.8709575195	0.5343172758	0.773017689	0.2542343884	0.9973154362	0.9973154362
12	0.8848538506	0.5205056592	0.7934868906	0.2777777778	1	1
13	0.8821531837	0.5201526592	0.789153908	0.2725443571	1	1
14	0.8965793463	0.5049371632	0.8125453726	0.3025995126	1	1
15	0.9014388992	0.4961924344	0.8205632791	0.3140147524	1	1
16	0.898663332	0.4952708953	0.815975131	0.3074066433	1	1
17	0.9055794494	0.4835821086	0.8274510643	0.3243360906	1	1
18	0.9052214824	0.4776452092	0.8268535305	0.3234208813	1	1
19	0.9151838945	0.4660755795	0.8436304457	0.3506707461	1	1
20	0.9199918399	0.4559874396	0.85183786	0.3652856092	1	1
21	0.9307201216	0.442469913	0.8704176898	0.4020507285	1	1
22	0.9308947396	0.4360993039	0.8707231871	0.4027027027	1	1
23	0.9382587635	0.4249692804	0.8836981471	0.4320092781	1	1
24	0.940422412	0.4213522765	0.887544643	0.4413507109	1	1
25	0.9483915351	0.4100105753	0.9018485175	0.4790996785	1	1
26	0.9529147398	0.4013914509	0.9100641332	0.5032083755	1	1
27	0.9515441302	0.4012024252	0.9075671735	0.495675316	1	1
28	0.9538306752	0.3932285181	0.9117364202	0.5083589219	1	1
29	0.9554224746	0.3894125394	0.9146496563	0.5175408128	1	1
30	0.9557291991	0.3842440226	0.9152120296	0.5193447194	1	1
31	0.9582826342	0.3785695885	0.919906556	0.5348169419	1	1
32	0.9572350008	0.3784324722	0.9179776857	0.5283687943	1	1
33	0.9567120426	0.3783709715	0.9170162808	0.5252026789	1	1
34	0.959672739	0.3700204203	0.9224719711	0.5435972273	1	1
35	0.9620918319	0.3641994747	0.9269527513	0.5595193391	1	1
36	0.9633059576	0.3579864199	0.9292095046	0.5678353659	1	1
37	0.965900094	0.3529542082	0.9340491072	0.5863833137	1	1
38	0.9652111317	0.3524033962	0.9327614175	0.5813499805	1	1
39	0.9645544021	0.3522634746	0.9315355669	0.576625387	1	1
40	0.9639922018	0.3522042629	0.9304873994	0.5726364335	1	1
41	0.9636489575	0.3521771971	0.9298480129	0.5702257941	1	1
42	0.9633683031	0.3521517333	0.9293255318	0.5682684973	1	1
43	0.964429412	0.3474184487	0.9313024367	0.5757341577	1	1
44	0.9682562391	0.3403200477	0.938465805	0.604217356	1	1
45	0.9681302879	0.3401844724	0.9382291936	0.6032388664	1	1
46	0.970877142	0.3324722062	0.9434025631	0.6252622744	1	1
47	0.9727806236	0.3271025056	0.9470037716	0.6414119673	1	1
48	0.9735441078	0.3243467853	0.9484519649	0.648107873	1	1
49	0.9771550106	0.3153386185	0.9553304956	0.681610247	1	1
50	0.9776684549	0.31274772	0.9563125187	0.6866359447	1	1
51	0.979566453	0.3092182641	0.9599512441	0.7058266225	1	1
52	0.9798243762	0.3050231852	0.9604467636	0.70851165	1	1
53	0.9806958706	0.3033095396	0.9621229251	0.7177263969	1	1
54	0.9805343658	0.3032141277	0.9618120836	0.7160019222	1	1
55	0.9826380862	0.2957250433	0.9658687562	0.7390873016	1	1
56	0.9826380862	0.2953574858	0.9658687562	0.7390873016	1	1
57	0.9824435186	0.294607554	0.9654928611	0.7368941642	1	1
58	0.9836445815	0.2904806811	0.9678155532	0.7506297229	1	1
