iter	Passed	Remaining
0	470	1410266
1	580	870065
2	619	618883
3	1120	839372
4	1184	709789
5	1234	616039
6	1275	545268
7	1837	687206
8	2349	780743
9	2774	829450
10	2801	761167
11	3206	798530
12	3623	832678
13	3644	777246
14	4062	808530
15	4493	838129
16	4570	801967
17	5032	833719
18	5457	856287
19	5939	884915
20	6429	912085
21	6905	934786
22	7386	956058
23	7898	979452
24	8298	987534
25	8759	1001902
26	9164	1009142
27	9188	975249
28	9597	983278
29	10047	994718
30	10483	1004095
31	10947	1015342
32	10994	988548
33	11013	960776
34	11445	969610
35	11915	981011
36	12325	987045
37	12717	991272
38	12828	974007
39	12857	951466
40	12875	929237
41	12888	907686
42	12900	887153
43	13312	894366
44	13695	899342
45	13734	881982
46	14171	890410
47	14564	895718
48	14998	903299
49	15484	913562
50	15941	921796
51	16367	927927
52	16791	933665
53	17245	940813
54	17285	925579
55	17697	930389
56	17873	922828
57	17976	911818
58	18368	915616
59	18392	901239
60	18797	905659
61	19215	910544
62	19588	913196
63	20039	919309
64	20515	926374
65	21008	933944
66	21455	939243
67	21486	926444
68	21981	933724
69	22431	938900
70	22879	943848
71	23367	950260
72	23800	954301
73	24213	957428
74	24650	961378
75	25120	966481
76	25136	954191
77	25587	958538
78	26088	964632
79	26557	969331
80	27051	974852
81	27464	977319
82	27871	979517
83	28292	982147
84	28323	971326
85	28732	973556
86	29126	975236
87	29557	978089
88	30000	981256
89	30468	985159
90	30495	974843
91	30968	978887
92	30984	968527
93	30999	958357
94	31407	960413
95	31861	963804
96	32281	966108
97	32681	967781
98	33087	969550
99	33499	971480
100	33907	973248
101	34330	975382
102	34767	977874
103	35271	982166
104	35751	985722
105	35773	976692
106	36196	978669
107	36576	979431
108	37064	983055
109	37497	985148
110	37917	986874
111	38348	988836
112	38868	993045
113	39288	994631
114	39775	997855
115	40218	999915
116	40726	1003553
117	41243	1007312
118	41705	1009703
119	42211	1013069
120	42627	1014247
121	43051	1015581
122	43069	1007410
123	43469	1008204
124	43961	1011123
125	44348	1011574
126	44766	1012709
127	45204	1014278
128	45635	1015650
129	46117	1018128
130	46578	1020098
131	47046	1022200
132	47479	1023483
133	47886	1024206
134	48283	1024679
135	48709	1025767
136	49128	1026675
137	49489	1026377
138	49517	1019200
139	49949	1020401
140	50411	1022178
141	50922	1024912
142	51363	1026199
143	51781	1026999
144	51804	1020008
145	52211	1020627
146	52631	1021478
147	53032	1021957
148	53446	1022665
149	53871	1023556
150	53895	1016873
151	54288	1017202
152	54734	1018499
153	55231	1020710
154	55733	1022972
155	55748	1016343
156	56242	1018454
157	56743	1020659
158	57208	1022197
159	57588	1022195
160	57967	1022172
161	57988	1015880
162	58414	1016696
163	58917	1018849
164	59390	1020438
165	59839	1021603
166	60300	1022939
167	60862	1025969
168	61329	1027365
169	61741	1027818
170	62229	1029519
171	62787	1032348
172	63271	1033917
173	63760	1035559
174	64234	1036920
175	64667	1037615
176	65117	1038561
177	65595	1039939
178	66024	1040537
179	66467	1041317
180	66917	1042219
181	67339	1042656
182	67359	1036895
183	67380	1031213
184	67758	1031033
185	67772	1025327
186	68194	1025841
187	68596	1026025
188	69049	1026968
189	69115	1022183
190	69553	1022903
191	69576	1017560
192	69609	1012396
193	70073	1013544
194	70123	1008706
195	70577	1009684
196	71081	1011383
197	71557	1012653
198	72046	1014085
199	72094	1009324
200	72554	1010346
201	73029	1011572
202	73436	1011830
203	73486	1007202
204	73503	1002162
205	73958	1003109
206	74031	998889
207	74055	994046
208	74492	994777
209	74528	990163
210	74943	990602
211	75406	991670
212	75446	987178
213	75460	982396
214	75960	983949
215	76428	985073
216	76451	980477
217	76904	981409
218	77330	981986
219	77348	977403
220	77775	978002
221	77795	973493
222	78202	973847
223	78647	974664
224	78673	970301
225	79110	971025
226	79144	966817
227	79578	967507
228	80065	968827
229	80533	969902
230	81005	971009
231	81201	968813
232	81702	970255
233	82163	971219
234	82599	971858
235	83056	972750
236	83431	972663
237	83445	968393
238	83868	968877
239	84286	969298
240	84795	970748
241	85243	971488
242	85732	972698
243	86213	973784
244	86634	974200
245	86649	970054
246	87140	971245
247	87582	971880
248	88045	972740
249	88515	973674
250	89003	974778
251	89455	975486
252	89883	975927
253	89960	972560
254	90436	973524
255	90916	974512
256	91404	975576
257	91425	971664
258	91883	972403
259	92329	973013
260	92343	969080
261	92744	969214
262	93161	969518
263	93548	969499
264	94029	970452
265	94429	970564
266	94861	970992
267	94876	967172
268	94890	963370
269	95086	961434
270	95382	960512
271	95884	961666
272	96334	962286
273	96749	962556
274	97205	963218
275	97595	963229
276	97995	963323
277	98419	963659
278	98494	960588
279	98950	961234
280	99399	961802
281	99416	958204
282	99829	958433
283	100326	959459
284	100804	960297
285	101297	961260
286	101734	961690
287	102200	962385
288	102222	958914
289	102657	959312
290	103203	960754
291	103664	961383
292	104092	961701
293	104603	962774
294	105079	963526
295	105512	963869
296	105964	964387
297	105984	960975
298	106403	961187
299	106878	961910
300	107322	962333
301	107343	958986
302	107813	959644
303	108233	959863
304	108712	960589
305	108743	957365
306	109163	957577
307	109538	957395
308	110032	958247
309	110492	958792
310	110961	959406
311	111378	959566
312	111892	960563
313	112308	960698
314	112741	960984
315	113159	961137
316	113550	961061
317	113965	961179
318	114366	961179
319	114867	962014
320	115305	962312
321	115319	959085
322	115816	959875
323	116340	960886
324	116811	961447
325	117279	961980
326	117677	961932
327	117696	958794
328	118098	958791
329	118541	959105
330	119041	959886
331	119505	960367
332	119945	960645
333	120400	961042
334	120917	961922
335	121449	962924
336	121980	963898
337	122409	964064
338	122825	964127
339	123258	964316
340	123675	964382
341	124122	964669
342	124521	964587
343	125024	965301
344	125467	965554
345	126004	966522
346	126037	963624
347	126452	963651
348	126908	963994
349	127359	964289
350	127372	961283
351	127786	961302
352	128197	961298
353	128608	961294
354	129092	961826
355	129553	962189
356	130003	962459
357	130537	963355
358	130992	963655
359	131491	964267
360	131989	964877
361	132439	965126
362	132857	965135
363	133264	965068
364	133674	965022
365	134143	965390
366	134583	965551
367	135047	965885
368	135558	966543
369	136127	967610
370	136606	968025
371	137104	968578
372	137577	968945
373	138058	969365
374	138517	969620
375	139036	970294
376	139431	970100
377	139857	970120
378	140288	970177
379	140802	970795
380	141271	971103
381	141842	972102
382	142350	972663
383	142782	972703
384	143256	973025
385	143772	973631
386	144189	973560
387	144631	973652
388	145167	974375
389	145787	975656
390	146340	976479
391	146817	976783
392	147334	977354
393	147764	977347
394	148200	977372
395	148608	977215
396	149039	977204
397	149439	976990
398	149895	977137
