iter	Passed	Remaining
0	46	92126
1	83	83194
2	106	70627
3	128	64107
4	169	67598
5	307	102056
6	354	100951
7	369	91884
8	409	90639
9	465	92577
10	509	92111
11	547	90753
12	586	89689
13	613	87065
14	651	86155
15	688	85349
16	726	84724
17	765	84250
18	807	84175
19	844	83646
20	883	83261
21	928	83438
22	974	83776
23	987	81320
24	1025	81013
25	1065	80872
26	1109	81103
27	1148	80907
28	1189	80859
29	1236	81169
30	1286	81705
31	1428	87863
32	1475	87976
33	1517	87761
34	1562	87728
35	1607	87716
36	1649	87518
37	1687	87143
38	1730	86998
39	1766	86567
40	1816	86779
41	1854	86440
42	1891	86090
43	1945	86480
44	2002	87003
45	2041	86715
46	2085	86647
47	2125	86441
48	2172	86506
49	2210	86204
50	2248	85936
51	2300	86164
52	2346	86197
53	2397	86397
54	2529	89460
55	2573	89347
56	2618	89251
57	2662	89163
58	2706	89055
59	2753	89034
60	2791	88736
61	2829	88455
62	2869	88221
63	2908	87970
64	2947	87734
65	2984	87466
66	3022	87206
67	3063	87038
68	3102	86835
69	3141	86623
70	3197	86880
71	3242	86822
72	3284	86708
73	3332	86725
74	3378	86717
75	3416	86478
76	3458	86363
77	3504	86360
78	3658	88972
79	3701	88845
80	3746	88753
81	3788	88624
82	3832	88511
83	3875	88404
84	3917	88250
85	3955	88025
86	3995	87848
87	4048	87953
88	4086	87750
89	4125	87561
90	4165	87373
91	4205	87224
92	4256	87277
93	4301	87220
94	4347	87183
95	4390	87085
96	4430	86918
97	4478	86924
98	4518	86754
99	4559	86629
100	4597	86442
101	4637	86293
102	4911	90465
103	4949	90238
104	4989	90045
105	5029	89867
106	5071	89718
107	5117	89650
108	5155	89433
109	5192	89215
110	5230	89008
111	5266	88786
112	5305	88594
113	5342	88391
114	5380	88194
115	5420	88030
116	5456	87821
117	5496	87663
118	5534	87489
119	5582	87458
120	5631	87446
121	5687	87546
122	5727	87398
123	5765	87227
124	5817	87269
125	5865	87237
126	5906	87103
127	6061	88651
128	6104	88536
129	6144	88387
130	6190	88314
131	6232	88194
132	6274	88081
133	6317	87967
134	6356	87810
135	6394	87638
136	6433	87482
137	6470	87305
138	6518	87274
139	6556	87113
140	6597	86987
141	6645	86959
142	6695	86946
143	6745	86938
144	6791	86883
145	6836	86819
146	6874	86653
147	6917	86557
148	6952	86374
149	6990	86217
150	7028	86068
151	7066	85912
152	7215	87099
153	7266	87099
154	7309	87006
155	7351	86903
156	7395	86820
157	7438	86721
158	7492	86749
159	7537	86686
160	7584	86631
161	7621	86470
162	7664	86375
163	7719	86421
164	7760	86307
165	7807	86253
166	7844	86101
167	7882	85955
168	7932	85938
169	7970	85805
170	8014	85726
171	8055	85616
172	8097	85519
173	8137	85396
174	8176	85270
175	8226	85258
176	8374	86247
177	8418	86169
178	8463	86095
179	8505	85996
180	8547	85898
181	8591	85820
182	8630	85696
183	8669	85559
184	8708	85434
185	8747	85316
186	8786	85182
187	8824	85051
188	8862	84917
189	8903	84816
190	8942	84693
191	8980	84563
192	9023	84487
193	9067	84413
194	9106	84297
195	9157	84288
196	9204	84245
197	9249	84183
198	9298	84153
199	9343	84087
200	9407	84201
201	9530	84832
202	9571	84725
203	9614	84648
204	9657	84564
205	9712	84582
206	9759	84531
207	9803	84460
208	9849	84400
209	9896	84357
210	9945	84320
211	9981	84183
212	10024	84106
213	10071	84056
214	10118	84008
215	10157	83891
216	10207	83872
217	10261	83880
218	10301	83773
219	10338	83650
220	10377	83538
221	10415	83419
222	10453	83298
223	10504	83285
224	10652	84035
225	10696	83963
226	10737	83867
227	10792	83877
228	10836	83803
229	10882	83748
230	10929	83697
231	10979	83674
232	11019	83566
233	11071	83557
234	11120	83524
235	11158	83402
236	11195	83283
237	11232	83155
238	11269	83035
239	11307	82918
240	11369	82983
241	11409	82883
242	11454	82823
243	11492	82710
244	11531	82599
245	11581	82576
246	11619	82465
247	11661	82385
248	11812	83065
249	11852	82965
250	11897	82900
251	11941	82831
252	11983	82745
253	12028	82686
254	12076	82638
255	12114	82529
256	12169	82536
257	12208	82433
258	12246	82324
259	12285	82215
260	12324	82112
261	12365	82027
262	12402	81916
263	12441	81809
264	12490	81777
265	12535	81714
266	12582	81670
267	12620	81565
268	12664	81497
269	12714	81470
270	12779	81533
271	12867	81746
272	13030	82432
273	13078	82383
274	13126	82338
275	13177	82312
276	13227	82279
277	13284	82285
278	13348	82339
279	13394	82279
280	13456	82318
281	13509	82304
282	13560	82272
283	13607	82218
284	13655	82175
285	13717	82211
286	13776	82224
287	13836	82252
288	13890	82235
289	13938	82190
290	13990	82163
291	14133	82671
292	14230	82908
293	14280	82866
294	14333	82844
295	14379	82781
296	14435	82773
297	14484	82728
298	14533	82679
299	14578	82610
300	14624	82548
301	14663	82443
302	14721	82450
303	14760	82348
304	14813	82323
305	14851	82218
306	14894	82137
307	14933	82038
308	14975	81955
309	15022	81898
310	15068	81834
311	15106	81731
312	15149	81651
313	15195	81590
314	15353	82126
315	15400	82068
316	15445	82004
317	15491	81937
318	15535	81865
319	15577	81783
320	15621	81707
321	15660	81611
322	15698	81508
323	15738	81412
324	15777	81316
325	15815	81214
326	15863	81160
327	15902	81062
328	15942	80973
329	15990	80922
330	16043	80896
331	16088	80828
332	16128	80739
333	16168	80646
334	16214	80587
335	16263	80540
336	16300	80438
337	16340	80350
338	16634	81503
339	16671	81395
340	16712	81309
341	16753	81219
342	16796	81140
343	16838	81059
344	16886	81004
345	16929	80926
346	16977	80877
347	17016	80780
348	17054	80677
349	17092	80578
350	17131	80482
351	17168	80381
352	17208	80289
353	17245	80186
354	17282	80083
355	17325	80006
356	17368	79933
357	17409	79848
358	17447	79753
359	17503	79738
360	17542	79643
361	17582	79557
362	17620	79460
363	17784	79933
364	17829	79865
365	17872	79791
366	17915	79715
367	17959	79646
368	18001	79569
369	18048	79511
370	18089	79429
371	18129	79341
372	18171	79264
373	18211	79175
374	18252	79095
375	18292	79008
376	18331	78917
377	18369	78822
378	18408	78733
379	18446	78639
380	18497	78603
381	18542	78537
382	18580	78443
383	18619	78355
384	18664	78294
385	18711	78241
386	18751	78155
387	18789	78065
388	18958	78512
389	19000	78438
390	19044	78370
391	19089	78307
392	19134	78241
393	19179	78178
394	19227	78125
395	19268	78046
396	19307	77960
397	19346	77871
398	19385	77784
399	19424	77697
400	19472	77648
401	19523	77608
402	19562	77520
403	19601	77434
404	19639	77347
405	19685	77288
406	19729	77222
407	19768	77134
408	19807	77051
409	19854	76995
410	19901	76943
411	19941	76861
412	20117	77304
413	20160	77231
414	20202	77160
415	20248	77101
416	20292	77034
417	20338	76973
418	20396	76960
419	20439	76892
420	20476	76800
421	20516	76716
422	20554	76630
423	20600	76572
424	20646	76514
425	20683	76423
426	20723	76343
427	20762	76258
428	20807	76198
429	20851	76133
430	20901	76087
431	20939	76002
432	20980	75926
433	21028	75875
434	21074	75820
435	21128	75792
436	21291	76150
437	21333	76079
438	21375	76005
439	21418	75937
440	21460	75866
441	21505	75804
442	21548	75735
443	21588	75658
444	21628	75578
445	21668	75500
446	21714	75442
447	21761	75386
448	21810	75340
449	21858	75291
450	21897	75207
451	21952	75182
452	22005	75150
453	22045	75069
454	22094	75023
455	22133	74943
456	22173	74864
457	22220	74812
458	22270	74768
459	22348	74818
460	22470	75014
461	22514	74951
462	22558	74885
463	22602	74820
464	22657	74795
465	22704	74740
466	22744	74662
467	22784	74585
468	22823	74505
469	22863	74426
470	22901	74346
471	22941	74266
472	22981	74192
473	23021	74115
474	23058	74029
475	23095	73945
476	23136	73873
477	23186	73829
478	23227	73757
479	23272	73696
480	23311	73618
481	23351	73544
482	23399	73491
483	23447	73441
484	23621	73786
485	23663	73717
486	23703	73640
487	23747	73577
488	23791	73514
489	23836	73454
490	23879	73389
491	23927	73339
492	23973	73283
493	24011	73202
494	24051	73124
495	24089	73046
496	24128	72968
497	24166	72888
498	24223	72863
499	24262	72787
500	24309	72733
501	24353	72671
502	24401	72623
503	24440	72545
504	24479	72469
505	24518	72392
506	24557	72315
507	24598	72245
508	24641	72181
509	24806	72474
510	24853	72419
511	24894	72349
512	24939	72290
513	24981	72222
514	25028	72168
515	25074	72113
516	25121	72060
517	25163	71991
518	25203	71918
519	25242	71843
520	25282	71770
521	25323	71700
522	25362	71625
523	25401	71551
524	25440	71476
525	25478	71397
526	25518	71325
527	25565	71274
528	25606	71203
529	25646	71133
530	25687	71064
531	25727	70992
532	25782	70961
533	25903	71114
534	25990	71169
535	26036	71114
536	26080	71053
537	26126	70996
538	26171	70941
539	26215	70877
540	26275	70862
541	26319	70799
542	26365	70744
543	26412	70691
544	26460	70643
545	26507	70589
546	26545	70513
547	26583	70436
548	26622	70362
549	26667	70305
550	26716	70257
551	26765	70209
552	26806	70142
553	26860	70108
554	26900	70038
555	26939	69965
556	26981	69899
557	27138	70133
558	27179	70063
559	27220	69995
560	27265	69937
561	27324	69914
562	27367	69852
563	27419	69813
564	27457	69738
565	27497	69666
566	27536	69594
567	27577	69525
568	27624	69474
569	27671	69421
570	27708	69343
571	27750	69278
572	27787	69201
573	27832	69144
574	27877	69088
575	27924	69035
576	27974	68990
577	28019	68933
578	28068	68887
579	28116	68835
580	28408	69383
581	28447	69310
582	28487	69239
583	28529	69175
584	28576	69121
585	28618	69056
586	28661	68992
587	28705	68932
588	28744	68861
589	28782	68786
590	28821	68713
591	28868	68659
592	28906	68586
593	28946	68515
594	28987	68448
595	29027	68379
596	29065	68307
597	29106	68240
598	29153	68188
599	29197	68128
600	29236	68057
601	29275	67986
602	29315	67916
603	29369	67879
604	29420	67837
605	29585	68057
606	29629	67995
607	29671	67933
608	29715	67871
609	29757	67807
610	29800	67745
611	29845	67689
612	29888	67625
613	29928	67558
614	29967	67488
615	30020	67448
616	30059	67379
617	30100	67311
618	30139	67242
619	30180	67175
620	30218	67104
621	30260	67039
622	30308	66989
623	30364	66957
624	30404	66889
625	30443	66819
626	30497	66783
627	30544	66730
628	30598	66694
629	30761	66894
630	30802	66828
631	30846	66768
632	30889	66708
633	30933	66648
634	30978	66592
635	31022	66532
636	31066	66474
637	31106	66405
638	31147	66341
639	31187	66272
640	31225	66201
641	31264	66132
642	31307	66071
643	31346	66003
644	31387	65937
645	31433	65884
646	31481	65834
647	31532	65790
648	31576	65731
649	31627	65688
650	31665	65616
651	31704	65548
652	31755	65505
653	31930	65716
654	31975	65659
655	32018	65597
656	32059	65534
657	32102	65473
658	32144	65411
659	32190	65356
660	32235	65300
661	32273	65229
662	32312	65160
663	32358	65106
