iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.7806918811	0.673138142	0.6750658173	0.1721598002	0.9255033557	0.9255033557
1	0.8025624277	0.6551156254	0.6845207421	0.1784391208	0.9697986577	0.9697986577
2	0.8009794904	0.6451216028	0.6744691978	0.1717726848	0.9859060403	0.9859060403
3	0.8134070632	0.6311290674	0.6929453508	0.1842733325	0.9845637584	0.9845637584
4	0.8311902769	0.6150008815	0.7195192723	0.2043205575	0.9838926174	0.9838926174
5	0.8383449028	0.6009180016	0.7273795095	0.2107822108	0.989261745	0.989261745
6	0.8320217019	0.5869101537	0.7175588271	0.2027491409	0.9899328859	0.9899328859
7	0.8268898257	0.5765193432	0.7096140139	0.1965379494	0.9906040268	0.9906040268
8	0.8311312018	0.5663810129	0.7158842594	0.201419214	0.9906040268	0.9906040268
9	0.8332911913	0.560926942	0.71838962	0.2034131572	0.9919463087	0.9919463087
10	0.836172049	0.5524638911	0.72303933	0.2071819329	0.9912751678	0.9912751678
11	0.8384489378	0.543302035	0.7260909844	0.2097048808	0.9919463087	0.9919463087
12	0.8462002112	0.5350016189	0.7374253869	0.2194362018	0.9926174497	0.9926174497
13	0.8489981835	0.52795552	0.7409379574	0.2225728885	0.9939597315	0.9939597315
14	0.8473935151	0.5272992056	0.7384970349	0.2203869048	0.9939597315	0.9939597315
15	0.8436006173	0.5259666364	0.7327547267	0.2153555329	0.9939597315	0.9939597315
16	0.8417288443	0.5255906172	0.7299349361	0.2129403307	0.9939597315	0.9939597315
17	0.8481845433	0.5192590834	0.7393281814	0.2211280215	0.9946308725	0.9946308725
18	0.8497689102	0.5134332911	0.7402531304	0.2219566841	0.9973154362	0.9973154362
19	0.8480455974	0.5128692641	0.7376415722	0.2196275495	0.9973154362	0.9973154362
20	0.8466188573	0.5125150135	0.7354853816	0.2177289377	0.9973154362	0.9973154362
21	0.8449887121	0.5122489623	0.7333913338	0.2159057866	0.9966442953	0.9966442953
22	0.8504260941	0.5054040199	0.7412511178	0.2228554289	0.9973154362	0.9973154362
23	0.8526975287	0.4995831259	0.7447093235	0.2260076046	0.9973154362	0.9973154362
24	0.8575493643	0.4942714225	0.7521424034	0.2329883976	0.9973154362	0.9973154362
25	0.8595169304	0.4916880068	0.7547904981	0.2355456994	0.9979865772	0.9979865772
26	0.8670419801	0.484594421	0.7664738805	0.247297522	0.9979865772	0.9979865772
27	0.864997262	0.4842176079	0.7632838707	0.2440105021	0.9979865772	0.9979865772
28	0.8636645717	0.4841149441	0.7612109127	0.2419066211	0.9979865772	0.9979865772
29	0.8669169297	0.4804697667	0.7658832508	0.2466843501	0.9986577181	0.9986577181
30	0.8673721872	0.4764135642	0.7665941895	0.2474226804	0.9986577181	0.9986577181
31	0.8712612676	0.4718122917	0.7726908826	0.2538815902	0.9986577181	0.9986577181
32	0.8732289335	0.4696867478	0.775387022	0.256812694	0.9993288591	0.9993288591
33	0.8745123686	0.4670539397	0.7774132125	0.2590466249	0.9993288591	0.9993288591
34	0.8735109659	0.4669757327	0.7758318772	0.2573008467	0.9993288591	0.9993288591
35	0.8753615044	0.4642526363	0.7787563092	0.2605424322	0.9993288591	0.9993288591
36	0.8756449163	0.4626730085	0.7792050399	0.2610448808	0.9993288591	0.9993288591
37	0.8747437877	0.4626072225	0.777779052	0.2594528664	0.9993288591	0.9993288591
38	0.8775562854	0.4571014237	0.7822372675	0.2644760213	0.9993288591	0.9993288591
39	0.8832621114	0.4504519275	0.7913509007	0.2751801885	0.9993288591	0.9993288591
40	0.885154241	0.4479401271	0.7943937275	0.2788911781	0.9993288591	0.9993288591
41	0.8887504716	0.4429340375	0.8002056006	0.2861810494	0.9993288591	0.9993288591
42	0.8902664204	0.4395809074	0.8026668271	0.2893509522	0.9993288591	0.9993288591
43	0.8943169029	0.4353505981	0.8088365512	0.2975239617	1	1
44	0.8935116521	0.4352963129	0.807520164	0.2957522827	1	1
45	0.8942094523	0.4333965391	0.808660785	0.2972865124	1	1
46	0.896012663	0.4297224729	0.8116149822	0.301314459	1	1
47	0.8985548344	0.4263178598	0.8157962489	0.3071531643	1	1
