iter	Passed	Remaining
0	8	8572
1	15	7905
2	22	7602
3	30	7549
4	37	7456
5	44	7413
6	51	7363
7	59	7356
8	66	7303
9	73	7253
10	80	7214
11	86	7141
12	93	7080
13	99	7024
14	106	6986
15	112	6940
16	119	6917
17	126	6887
18	132	6855
19	139	6820
20	145	6804
21	152	6780
22	159	6776
23	166	6769
24	173	6755
25	179	6741
26	186	6718
27	193	6704
28	199	6690
29	206	6676
30	212	6656
31	220	6658
32	226	6645
33	233	6634
34	240	6620
35	246	6610
36	253	6598
37	260	6583
38	266	6573
39	273	6562
40	279	6546
41	286	6531
42	292	6512
43	299	6497
44	305	6488
45	312	6484
46	319	6470
47	325	6455
48	332	6444
49	338	6432
50	345	6421
51	351	6408
52	357	6395
53	364	6381
54	370	6371
55	377	6360
56	384	6356
57	390	6344
58	397	6343
59	404	6331
60	410	6322
61	417	6311
62	423	6301
63	430	6292
64	436	6284
65	443	6278
66	450	6272
67	456	6262
68	463	6255
69	470	6252
70	477	6244
71	483	6235
72	490	6225
73	497	6221
74	503	6211
75	510	6204
76	516	6192
77	523	6185
78	530	6183
79	536	6172
80	543	6165
81	549	6156
82	556	6146
83	562	6137
84	569	6128
85	576	6122
86	583	6120
87	589	6113
88	596	6102
89	602	6093
90	609	6083
91	615	6075
92	622	6067
93	628	6061
94	635	6051
95	641	6044
96	648	6035
97	654	6026
98	661	6019
99	668	6012
100	674	6005
101	681	5997
102	687	5989
103	694	5985
104	701	5978
105	708	5979
106	715	5971
107	722	5966
108	729	5964
109	736	5957
110	744	5962
111	751	5957
112	760	5972
113	768	5969
114	775	5971
115	783	5968
116	792	5980
117	799	5976
118	808	5983
119	815	5976
120	822	5974
121	829	5972
122	837	5969
123	845	5973
124	852	5966
125	859	5962
126	866	5958
127	875	5966
128	882	5960
129	891	5967
130	899	5964
131	908	5971
132	915	5964
133	923	5970
134	930	5961
135	939	5971
136	946	5964
137	956	5975
138	963	5969
139	972	5974
140	979	5967
141	988	5971
142	995	5964
143	1003	5963
