iter	Passed	Remaining
0	29	29429
1	65	32712
2	114	38213
3	125	31261
4	163	32518
5	202	33565
6	240	34084
7	252	31314
8	288	31734
9	327	32396
10	362	32626
11	393	32396
12	424	32264
13	461	32516
14	497	32638
15	522	32106
16	547	31649
17	582	31771
18	624	32218
19	653	32033
20	673	31383
21	709	31532
22	730	31014
23	767	31228
24	804	31391
25	843	31596
26	882	31794
27	920	31967
28	977	32724
29	1020	32997
30	1043	32617
31	1086	32860
32	1120	32819
33	1162	33021
34	1212	33433
35	1258	33698
36	1302	33908
37	1339	33912
38	1377	33952
39	1415	33968
40	1452	33974
41	1509	34429
42	1547	34446
43	1586	34465
44	1624	34483
45	1664	34512
46	1700	34485
47	1738	34489
48	1777	34492
49	1812	34431
50	1848	34402
51	1884	34356
52	1923	34363
53	1957	34299
54	1999	34352
55	2064	34795
56	2107	34859
57	2145	34852
58	2181	34798
59	2218	34762
60	2255	34725
61	2292	34677
62	2325	34591
63	2366	34616
64	2413	34721
65	2459	34806
66	2500	34821
67	2555	35024
68	2600	35084
69	2642	35109
70	2689	35196
71	2736	35266
72	2781	35320
73	2821	35304
74	2862	35308
75	2900	35265
76	2944	35297
77	2987	35311
78	3047	35528
79	3092	35561
80	3133	35551
81	3202	35852
82	3246	35868
83	3290	35886
84	3328	35829
85	3366	35781
86	3404	35729
87	3442	35678
88	3488	35703
89	3530	35695
90	3575	35713
91	3614	35675
92	3651	35608
93	3687	35541
94	3724	35478
95	3761	35416
96	3799	35370
97	3834	35296
98	3872	35244
99	3912	35211
100	3948	35149
101	3988	35113
102	4038	35166
103	4078	35139
104	4121	35133
105	4157	35067
106	4197	35027
107	4236	34993
108	4273	34930
109	4311	34882
110	4348	34825
111	4384	34765
112	4425	34738
113	4463	34691
114	4512	34724
115	4549	34670
116	4593	34669
117	4636	34656
118	4677	34627
119	4714	34570
120	4726	34331
121	4762	34271
122	4799	34217
123	4837	34174
124	4876	34136
125	4915	34098
126	4954	34055
127	4994	34022
128	5036	34003
129	5087	34046
130	5124	33995
131	5166	33971
132	5203	33922
133	5240	33870
134	5280	33833
135	5332	33875
136	5372	33841
137	5416	33836
138	5455	33793
139	5492	33737
140	5537	33734
141	5613	33915
142	5658	33911
143	5702	33898
144	5745	33879
145	5786	33844
146	5823	33792
147	5868	33786
148	5906	33735
149	5947	33704
150	5986	33660
151	6021	33595
152	6057	33535
153	6109	33561
154	6146	33508
155	6186	33472
156	6225	33427
157	6263	33380
158	6300	33327
159	6337	33273
160	6387	33284
161	6425	33236
162	6462	33184
163	6499	33130
164	6539	33095
165	6608	33199
166	6644	33143
167	6683	33097
168	6720	33047
169	6762	33016
170	6806	32999
171	6844	32947
172	6883	32906
173	6920	32854
174	6957	32801
175	6994	32745
176	7031	32695
177	7070	32652
178	7120	32656
179	7161	32626
180	7198	32573
181	7236	32526
182	7274	32477
183	7311	32424
184	7349	32379
185	7388	32332
186	7426	32287
187	7462	32232
188	7500	32183
189	7536	32131
190	7590	32149
191	7627	32097
192	7662	32041
193	7700	31991
194	7738	31946
195	7776	31901
196	7815	31856
197	7854	31815
198	7892	31766
199	7929	31719
200	7966	31667
201	8002	31614
202	8040	31569
203	8077	31517
204	8176	31709
205	8218	31678
206	8255	31626
207	8292	31576
208	8330	31529
209	8371	31490
210	8407	31437
211	8443	31384
212	8480	31335
213	8518	31288
214	8554	31233
215	8622	31294
216	8674	31299
217	8711	31250
218	8752	31211
219	8789	31162
220	8829	31123
221	8866	31072
222	8908	31041
223	8951	31009
224	9016	31055
225	9078	31090
226	9122	31065
227	9167	31042
228	9235	31093
229	9277	31058
230	9318	31022
231	9358	30979
232	9398	30937
233	9448	30930
234	9489	30889
235	9527	30844
236	9582	30848
