iter	Passed	Remaining
0	44	44839
1	89	44593
2	132	44106
3	176	44064
4	220	43929
5	254	42152
6	296	42127
7	337	41816
8	370	40766
9	403	39967
10	445	40010
11	489	40312
12	531	40386
13	576	40574
14	620	40771
15	665	40956
16	709	41023
17	752	41077
18	795	41090
19	822	40323
20	868	40479
21	913	40624
22	932	39624
23	995	40477
24	1054	41130
25	1108	41515
26	1162	41883
27	1215	42194
28	1269	42513
29	1294	41871
30	1344	42021
31	1392	42109
32	1442	42264
33	1495	42489
34	1545	42618
35	1590	42586
36	1642	42750
37	1672	42340
38	1688	41599
39	1739	41748
40	1785	41754
41	1828	41699
42	1869	41617
43	1910	41508
44	1953	41449
45	1999	41472
46	2044	41453
47	2089	41445
48	2132	41391
49	2177	41370
50	2202	40992
51	2250	41027
52	2266	40497
53	2307	40427
54	2351	40402
55	2369	39942
56	2409	39869
57	2459	39945
58	2502	39912
59	2544	39857
60	2559	39393
61	2602	39376
62	2643	39309
63	2672	39088
64	2724	39188
65	2749	38908
66	2800	38992
67	2847	39032
68	2896	39076
69	2946	39141
70	2983	39042
71	3039	39180
72	3080	39121
73	3122	39079
74	3181	39234
75	3226	39233
76	3267	39166
77	3306	39079
78	3349	39045
79	3391	39005
80	3436	38986
81	3453	38667
82	3497	38645
83	3539	38594
84	3555	38274
85	3596	38223
86	3638	38188
87	3685	38199
88	3736	38243
89	3783	38255
90	3828	38245
91	3872	38219
92	3916	38197
93	3964	38207
94	4006	38164
95	4064	38276
96	4102	38187
97	4139	38096
98	4177	38017
99	4219	37975
100	4260	37921
101	4300	37858
102	4320	37627
103	4360	37569
104	4401	37515
105	4440	37450
106	4484	37424
107	4533	37446
108	4576	37409
109	4618	37368
110	4659	37319
111	4699	37260
112	4741	37215
113	4783	37174
114	4825	37136
115	4865	37079
116	4907	37037
117	4947	36978
118	4987	36923
119	5028	36875
120	5085	36944
121	5161	37143
122	5223	37247
123	5286	37347
124	5331	37320
125	5393	37409
126	5457	37513
127	5509	37535
128	5549	37466
129	5569	37274
130	5609	37210
131	5679	37346
132	5706	37199
133	5755	37197
134	5808	37217
135	5860	37229
136	5907	37211
137	5954	37193
138	5998	37155
139	6041	37112
140	6107	37210
141	6133	37059
142	6174	37001
143	6217	36957
144	6260	36915
145	6301	36861
146	6345	36820
147	6387	36773
148	6432	36740
149	6475	36696
150	6528	36708
151	6589	36763
152	6632	36719
153	6687	36739
154	6733	36706
155	6779	36677
156	6824	36645
157	6869	36608
158	6922	36616
159	6972	36608
160	7034	36656
161	7080	36626
162	7154	36739
163	7177	36586
164	7220	36542
165	7268	36519
166	7317	36500
167	7366	36480
168	7415	36460
169	7462	36433
170	7509	36407
171	7556	36378
172	7624	36445
173	7688	36497
174	7745	36515
175	7804	36538
176	7864	36568
177	7919	36571
178	7969	36552
179	8023	36550
180	8073	36529
181	8130	36541
182	8208	36644
183	8252	36599
184	8295	36544
185	8348	36534
186	8395	36499
187	8440	36457
188	8494	36448
189	8540	36409
190	8588	36377
191	8632	36327
192	8697	36367
193	8745	36332
194	8795	36307
195	8837	36250
196	8881	36202
197	8930	36173
198	8982	36157
199	9029	36117
200	9072	36063
201	9115	36012
202	9158	35957
203	9224	35993
204	9274	35967
205	9328	35954
206	9366	35883
207	9405	35811
208	9448	35760
209	9492	35709
210	9536	35661
211	9581	35615
212	9624	35561
213	9670	35520
214	9710	35453
215	9752	35397
216	9794	35340
217	9835	35282
218	9877	35224
219	9918	35166
220	9968	35136
221	10011	35083
222	10051	35022
223	10094	34970
224	10135	34912
225	10173	34843
226	10214	34783
227	10281	34813
228	10322	34754
229	10363	34694
230	10403	34631
231	10442	34567
232	10482	34505
233	10523	34447
234	10564	34389
235	10603	34326
236	10642	34262
237	10681	34198
238	10727	34156
239	10770	34105
240	10811	34048
241	10849	33983
242	10893	33935
243	10943	33907
244	10996	33886
245	11041	33842
246	11085	33794
247	11135	33764
248	11180	33720
249	11228	33685
250	11327	33800
251	11376	33767
252	11425	33733
253	11474	33700
254	11526	33676
255	11575	33641
256	11623	33604
257	11674	33574
258	11721	33535
259	11768	33494
260	11825	33481
261	11874	33448
262	11920	33405
263	11966	33362
264	12014	33324
265	12062	33285
266	12109	33245
267	12158	33208
268	12201	33157
269	12247	33114
270	12291	33064
271	12369	33106
272	12418	33069
273	12464	33025
274	12504	32965
275	12551	32923
276	12591	32865
277	12641	32832
278	12686	32784
279	12730	32736
280	12777	32694
281	12837	32685
282	12889	32655
283	12933	32606
284	12977	32556
285	13020	32505
286	13063	32454
287	13107	32405
288	13152	32357
289	13199	32316
290	13245	32271
291	13289	32222
292	13345	32201
293	13442	32279
294	13491	32241
295	13536	32195
296	13582	32150
297	13627	32102
298	13671	32053
299	13720	32014
300	13769	31976
301	13817	31936
302	13871	31908
303	13924	31879
304	13971	31837
305	14018	31794
306	14076	31774
307	14124	31733
308	14168	31684
309	14217	31645
310	14265	31603
311	14311	31558
312	14356	31510
313	14403	31467
314	14492	31516
315	14542	31477
316	14584	31423
317	14630	31376
318	14674	31326
319	14719	31279
320	14764	31231
321	14808	31180
322	14849	31124
323	14894	31075
324	14941	31032
325	14987	30986
326	15032	30938
327	15074	30884
328	15117	30832
329	15160	30779
330	15202	30725
331	15242	30668
332	15289	30624
333	15329	30566
334	15369	30508
335	15410	30454
336	15452	30400
337	15535	30428
338	15580	30380
339	15623	30327
340	15663	30269
341	15705	30217
342	15746	30162
343	15785	30102
344	15825	30045
345	15872	30001
346	15918	29956
347	15964	29910
348	16018	29879
349	16063	29832
350	16108	29784
351	16164	29757
352	16208	29707
353	16252	29657
354	16297	29611
355	16342	29562
356	16389	29519
357	16434	29471
358	16482	29429
359	16529	29386
360	16616	29412
361	16663	29368
362	16707	29318
363	16749	29265
364	16792	29214
365	16834	29161
366	16877	29110
367	16918	29056
368	16962	29006
369	17007	28958
370	17057	28919
371	17105	28877
372	17161	28848
373	17205	28798
374	17260	28767
375	17314	28734
376	17367	28700
377	17414	28656
378	17475	28634
379	17522	28588
380	17586	28572
381	17674	28594
382	17727	28558
383	17775	28515
384	17835	28490
385	17878	28438
386	17930	28401
387	17970	28345
388	18010	28289
389	18056	28242
390	18099	28191
391	18153	28155
392	18194	28102
393	18237	28050
394	18279	27997
395	18321	27945
396	18361	27889
397	18404	27837
398	18445	27783
399	18487	27731
400	18532	27682
401	18578	27636
402	18626	27592
403	18727	27628
404	18776	27584
405	18823	27539
406	18867	27489
407	18911	27440
408	18956	27391
409	19000	27341
410	19040	27286
411	19080	27230
412	19122	27178
413	19162	27124
414	19208	27076
