iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.7633469077	0.667626968	0.6279614122	0.1445374801	0.9731543624	0.9731543624
1	0.7596365346	0.6578709875	0.6224063986	0.1416309013	0.9744966443	0.9744966443
2	0.7603931332	0.6363365225	0.6234229008	0.1421578226	0.9744966443	0.9744966443
3	0.7544845634	0.6246120668	0.6226899981	0.1417776894	0.9570469799	0.9570469799
4	0.7604159486	0.6065943384	0.6242804801	0.1426040744	0.9724832215	0.9724832215
5	0.7577609939	0.6010385766	0.6231956833	0.1420398501	0.966442953	0.966442953
6	0.7611512405	0.5890430699	0.6244427286	0.1426886792	0.9744966443	0.9744966443
7	0.760058757	0.5874774748	0.6246303976	0.1427866101	0.9704697987	0.9704697987
8	0.7590404317	0.582738267	0.6249283166	0.1429422275	0.966442953	0.966442953
9	0.7630932808	0.5775028174	0.6270611658	0.1440619109	0.9744966443	0.9744966443
10	0.7653665984	0.5705605066	0.6279123778	0.1445115312	0.9798657718	0.9798657718
11	0.7656119402	0.5632814753	0.6276921675	0.1443950617	0.9812080537	0.9812080537
12	0.7651130836	0.559238168	0.6267480586	0.1438969214	0.9818791946	0.9818791946
13	0.7660846809	0.5589260985	0.6266877199	0.1438651509	0.9852348993	0.9852348993
14	0.7667896579	0.5579519261	0.6268174414	0.1439334638	0.9872483221	0.9872483221
15	0.7673330799	0.5576513668	0.6267332166	0.1438891058	0.989261745	0.989261745
16	0.7678138479	0.5565669051	0.6271052942	0.1440851812	0.9899328859	0.9899328859
17	0.7669509585	0.5530938306	0.6267626111	0.143904585	0.9879194631	0.9879194631
18	0.766571145	0.5528907737	0.6262554628	0.143637783	0.9879194631	0.9879194631
19	0.7665511652	0.5520924275	0.6262287935	0.1436237682	0.9879194631	0.9879194631
20	0.7662715579	0.5519196093	0.625855662	0.1434278476	0.9879194631	0.9879194631
21	0.7670321365	0.5501496509	0.6266011196	0.1438195665	0.988590604	0.988590604
22	0.7670709778	0.5493194733	0.6269229338	0.1439890443	0.9879194631	0.9879194631
23	0.7674530558	0.5491804796	0.6268933067	0.1439734323	0.989261745	0.989261745
24	0.7688956985	0.5474763615	0.6288207875	0.1449931143	0.989261745	0.989261745
25	0.7687150716	0.5467680588	0.6285792045	0.1448648649	0.989261745	0.989261745
26	0.7687351371	0.5464580278	0.6286060379	0.1448791036	0.989261745	0.989261745
27	0.7688756247	0.546258823	0.6287939358	0.1449788532	0.989261745	0.989261745
28	0.7690161636	0.5458109561	0.6289819461	0.1450787402	0.989261745	0.989261745
29	0.7692371143	0.545169709	0.6292776181	0.1452359838	0.989261745	0.989261745
