iter	Passed	Remaining
0	50	151666
1	91	136967
2	130	130510
3	170	127686
4	197	118093
5	236	117906
6	275	117653
7	313	117369
8	354	117807
9	392	117495
10	430	117087
11	468	116714
12	501	115149
13	522	111407
14	559	111287
15	585	109262
16	621	109141
17	660	109498
18	678	106378
19	713	106366
20	725	102946
21	764	103458
22	801	103711
23	817	101349
24	854	101730
25	892	102073
26	918	101135
27	934	99138
28	971	99563
29	1030	102011
30	1054	101003
31	1095	101565
32	1145	102980
33	1185	103404
34	1202	101899
35	1243	102408
36	1289	103278
37	1326	103389
38	1363	103521
39	1388	102742
40	1400	101107
41	1424	100355
42	1465	100800
43	1552	104325
44	1590	104448
45	1626	104450
46	1663	104541
47	1742	107189
48	1784	107480
49	1819	107325
50	1856	107347
51	1869	105971
52	1903	105862
53	1939	105813
54	1977	105903
55	2022	106348
56	2059	106360
57	2097	106398
58	2117	105575
59	2154	105556
60	2189	105505
61	2227	105559
62	2262	105484
63	2296	105374
64	2330	105210
65	2367	105252
66	2404	105262
67	2443	105373
68	2487	105673
69	2525	105702
70	2561	105681
71	2598	105678
72	2634	105623
73	2668	105496
74	2703	105450
75	2757	106080
76	2794	106092
77	2867	107409
78	2908	107539
79	2945	107524
80	2983	107504
81	3005	106936
82	3054	107344
83	3092	107362
84	3129	107308
85	3164	107236
86	3201	107204
87	3239	107206
88	3268	106899
89	3303	106809
90	3339	106768
91	3376	106715
92	3413	106685
93	3450	106682
94	3499	107010
95	3530	106783
96	3566	106743
97	3603	106707
98	3629	106343
99	3664	106264
100	3702	106274
101	3739	106255
102	3776	106217
103	3812	106154
104	3851	106200
105	3889	106192
106	3958	107022
107	4024	107756
108	4077	108159
109	4113	108070
110	4150	108024
111	4187	107967
112	4221	107848
113	4257	107792
114	4290	107646
115	4312	107211
116	4332	106760
117	4369	106727
118	4407	106702
119	4444	106658
120	4483	106667
121	4523	106706
122	4563	106735
123	4580	106227
124	4609	106009
125	4646	105988
126	4685	106002
127	4726	106050
128	4767	106115
129	4810	106194
130	4823	105634
131	4863	105663
132	4905	105742
133	4942	105708
134	4983	105768
