iter	Passed	Remaining
0	35	70172
1	71	71308
2	106	70999
3	137	68537
4	176	70246
5	215	71574
6	250	71249
7	286	71303
8	320	70978
9	355	70794
10	392	70971
11	428	71035
12	462	70638
13	497	70610
14	560	74174
15	576	71462
16	608	71018
17	645	71069
18	680	70949
19	712	70501
20	747	70464
21	785	70614
22	822	70710
23	857	70587
24	896	70850
25	933	70895
26	980	71673
27	1031	72643
28	1071	72857
29	1107	72743
30	1143	72636
31	1178	72480
32	1213	72348
33	1249	72278
34	1287	72311
35	1323	72189
36	1358	72064
37	1396	72100
38	1438	72308
39	1479	72475
40	1516	72468
41	1553	72436
42	1591	72414
43	1627	72339
44	1664	72307
45	1720	73075
46	1758	73077
47	1793	72948
48	1829	72828
49	1862	72653
50	1898	72568
51	1935	72503
52	1971	72411
53	2007	72341
54	2043	72253
55	2078	72139
56	2113	72056
57	2148	71944
58	2184	71854
59	2219	71770
60	2255	71700
61	2291	71622
62	2327	71575
63	2363	71509
64	2400	71449
65	2434	71347
66	2470	71268
67	2505	71188
68	2540	71083
69	2575	71005
70	2610	70931
71	2645	70839
72	2682	70799
73	2717	70737
74	2755	70729
75	2792	70686
76	2827	70617
77	2863	70557
78	2900	70537
79	2934	70436
80	2969	70361
81	3004	70268
82	3039	70210
83	3080	70253
84	3116	70209
85	3152	70154
86	3188	70105
87	3224	70063
88	3260	70007
89	3296	69960
90	3335	69975
91	3377	70045
92	3418	70091
93	3457	70102
94	3493	70058
95	3531	70034
96	3566	69975
97	3601	69901
98	3637	69844
99	3673	69805
100	3708	69735
101	3745	69694
102	3780	69625
103	3815	69560
104	3850	69487
105	3884	69415
106	3921	69380
107	3959	69367
108	3998	69372
109	4072	69972
110	4114	70021
111	4152	69996
112	4190	69976
113	4233	70039
114	4273	70045
115	4312	70047
116	4354	70079
117	4395	70098
118	4435	70112
119	4475	70115
120	4516	70130
121	4553	70095
122	4591	70063
123	4629	70039
124	4665	69979
125	4702	69936
126	4740	69909
127	4776	69850
128	4812	69803
129	4848	69749
130	4885	69704
131	4921	69651
132	4959	69615
133	4995	69563
134	5033	69531
135	5069	69485
136	5106	69437
137	5143	69405
138	5180	69358
139	5215	69287
140	5251	69238
141	5286	69176
142	5322	69117
143	5360	69085
144	5394	69016
145	5429	68948
146	5465	68889
147	5501	68843
148	5536	68782
149	5573	68737
150	5609	68686
151	5644	68630
152	5680	68572
153	5716	68519
154	5777	68769
155	5851	69166
156	5888	69123
157	5922	69045
158	5957	68977
159	5992	68909
160	6026	68833
161	6060	68759
162	6095	68691
163	6131	68639
164	6165	68567
165	6199	68497
166	6235	68436
167	6271	68388
168	6307	68335
169	6343	68283
170	6378	68225
171	6414	68168
172	6449	68112
173	6486	68074
174	6522	68021
175	6557	67962
176	6592	67903
177	6628	67849
178	6665	67808
179	6700	67745
180	6734	67681
181	6769	67622
182	6805	67566
183	6840	67511
184	6877	67475
185	6912	67414
186	6948	67364
187	6985	67324
188	7020	67265
189	7055	67214
190	7092	67170
191	7128	67125
192	7166	67095
193	7199	67026
194	7234	66969
195	7271	66924
196	7306	66871
197	7341	66814
198	7367	66681
199	7402	66624
200	7434	66537
201	7469	66485
202	7505	66436
203	7540	66390
204	7575	66331
205	7608	66263
206	7643	66206
207	7679	66164
208	7716	66126
209	7754	66096
210	7790	66055
211	7828	66022
212	7863	65975
213	7898	65921
214	7935	65882
215	7970	65830
216	8025	65940
217	8063	65912
218	8098	65860
219	8132	65797
220	8166	65739
221	8202	65691
222	8237	65641
223	8275	65608
224	8311	65567
225	8345	65509
226	8381	65464
227	8415	65408
228	8451	65362
229	8488	65324
230	8523	65276
231	8560	65235
232	8596	65192
233	8631	65139
234	8667	65095
235	8702	65045
236	8736	64990
237	8771	64937
238	8809	64909
239	8844	64863
240	8880	64819
241	8918	64788
242	8981	64943
243	9045	65100
244	9082	65061
245	9155	65277
246	9192	65238
247	9225	65173
248	9256	65095
249	9289	65027
250	9322	64957
251	9357	64909
252	9390	64840
253	9423	64779
254	9457	64715
255	9493	64674
