iter	Logloss	Accuracy
0	0.4538553125	0.9081470624
1	0.3629890878	0.9081470624
2	0.3225749018	0.9081470624
3	0.2862225091	0.9081470624
4	0.2813031075	0.9081470624
5	0.2760720767	0.9081470624
6	0.272904066	0.9083913521
7	0.2705135733	0.9082692073
8	0.2692186972	0.9082081348
9	0.2667609961	0.9082081348
10	0.2534204856	0.9085745694
11	0.2504549656	0.908513497
12	0.2490537268	0.908513497
13	0.2445299186	0.9091852938
14	0.2425628641	0.9093685111
15	0.2406059336	0.9093074386
16	0.2386538792	0.9092463662
17	0.237113202	0.9091852938
18	0.2357290968	0.9094906559
19	0.2345487368	0.9095517283
20	0.2327652454	0.9099181629
21	0.2305990157	0.9100403078
22	0.2286925878	0.9101013802
23	0.2267142477	0.9101624527
24	0.2246418955	0.9105899597
25	0.2230166841	0.9108342494
26	0.2219528876	0.9114449737
27	0.220995353	0.9116892635
28	0.2196341331	0.9118114083
29	0.2170712523	0.9122999878
30	0.2129088968	0.9133992916
31	0.2116906416	0.9140710883
32	0.2091202755	0.9149261024
33	0.2070831496	0.9155368267
34	0.2057124842	0.9158421888
35	0.2045500612	0.9159643337
36	0.2032204929	0.9163307683
37	0.2015806118	0.917002565
38	0.2007491546	0.9175522169
39	0.1997573294	0.9179186515
40	0.1979004063	0.9185904483
41	0.1971464366	0.9192011726
42	0.1950768419	0.9193233175
43	0.193670257	0.9197508245
44	0.1916519594	0.920666911
45	0.190535195	0.9212165628
46	0.1889631291	0.9218272872
47	0.1877067516	0.9225601563
48	0.1863336365	0.9230487358
49	0.1843663044	0.9234151704
50	0.1833046384	0.9235983877
51	0.1816391225	0.9240869671
52	0.1798562533	0.9250641261
53	0.1783983031	0.9251251985
54	0.1772600529	0.9254305606
55	0.1758647286	0.9261023574
56	0.1746894301	0.9268352266
57	0.1730096434	0.9270184439
58	0.172664414	0.927323806
59	0.1720212491	0.9274459509
60	0.1705987652	0.9278734579
61	0.1684173847	0.9289727617
62	0.1664496187	0.9300720655
63	0.1648282611	0.9308049347
64	0.1635276117	0.9317820936
65	0.1612783045	0.9320874557
66	0.1603974565	0.9324538903
67	0.1596283131	0.9328813973
68	0.1582990548	0.933675339
69	0.1567064507	0.9343471357
70	0.1552683577	0.9347746427
71	0.1539195512	0.935385367
72	0.1526795278	0.9361793087
73	0.1518111665	0.9364235984
74	0.1509011297	0.9369121778
75	0.1492703232	0.9377061195
76	0.1485540377	0.9380114816
77	0.1471822527	0.9391718578
78	0.1451166501	0.9397215097
79	0.1442291913	0.9404543789
80	0.1430638226	0.9408818859
81	0.1418621554	0.9414926102
82	0.1405742536	0.9423476243
83	0.1398513915	0.9430804935
84	0.1386675091	0.9438744351
85	0.1372516258	0.9442408697
86	0.1365520853	0.9443630145
87	0.1358702574	0.9447294491
88	0.1342045019	0.9458898253
89	0.1337941901	0.9462562599
90	0.1321196368	0.9473555637
91	0.131219366	0.9474777086
92	0.1295317501	0.9478441432
93	0.1288070375	0.9479052156
94	0.1282136131	0.9482105777
95	0.1254949987	0.949798461
96	0.1247859494	0.9505924026
97	0.1238208467	0.9511420545
98	0.1232896221	0.9513863442
99	0.1220474478	0.9523024307
100	0.1212188736	0.952913155
101	0.1197724442	0.9540735312
102	0.1184511202	0.9553560523
103	0.1175529098	0.9556614144
104	0.1169294061	0.9563942836
105	0.1163402611	0.9561499939
106	0.1151796555	0.9569439355
107	0.1145119187	0.9579210944
108	0.1141900192	0.9587761085
109	0.1130664049	0.9590203982
110	0.1123623415	0.9591425431
111	0.1108822621	0.9606082814
112	0.110248824	0.9612190057
113	0.1097054934	0.9611579333
114	0.1090101556	0.9616465128
115	0.1077473548	0.9621350922
116	0.1069191372	0.9625015268
117	0.1064958199	0.962806889
118	0.1057751986	0.9637840479
119	0.1048275029	0.9645169171
120	0.1044697649	0.9645779895
121	0.1033434881	0.9647001344
122	0.1030476644	0.9647612068
123	0.1022115779	0.9651276414
124	0.1014792101	0.9656772933
125	0.1006406704	0.9661048003
126	0.09972881791	0.9670208868
127	0.09898068611	0.9674483938
128	0.09872302104	0.9679980457
129	0.09775071889	0.9693416392
130	0.09734569601	0.9695859289
131	0.09653813871	0.9698302186
132	0.09607614866	0.9700745084
133	0.09547796771	0.970440943
134	0.09526879323	0.9705020154
135	0.09469664244	0.9706852327
136	0.09405958859	0.9711127397
137	0.0935107499	0.9713570294
138	0.09231853946	0.9720288262
139	0.09215185249	0.9720288262
140	0.09138699974	0.9724563332
141	0.09060248723	0.9729449127
142	0.09002328979	0.9728838402
143	0.08941347395	0.973555637
144	0.08868328196	0.9741052889
145	0.08814693153	0.9743495786
146	0.0876034599	0.9747160132
147	0.08696562801	0.9747160132
148	0.08654584896	0.9746549408
149	0.08618443304	0.9750824478
150	0.08549161257	0.9756931721
151	0.08495764834	0.9755710272
152	0.08456952453	0.9756320997
153	0.08402014913	0.9764260413
154	0.08356940571	0.9764871137
155	0.0827833775	0.9765481861
156	0.08227795148	0.9769146207
157	0.08171679497	0.977097838
158	0.0809933996	0.9775253451
159	0.08025832135	0.9777696348
160	0.07962357532	0.9781971418
161	0.0789933018	0.978930011
162	0.07874985359	0.9790521559
163	0.07814166792	0.9791743007
164	0.07754484903	0.9797239526
165	0.0770551838	0.9797239526
166	0.07665774646	0.9799682423
167	0.07624183315	0.9802125321
168	0.07569457461	0.9801514596
169	0.07548282736	0.9803957494
170	0.07522083803	0.9807011115
171	0.07492486337	0.9814950531
172	0.07461446685	0.9814950531
173	0.07428078901	0.9817393429
174	0.07411263779	0.9819225602
175	0.07373119136	0.9815561256
176	0.07330902216	0.9818614877
177	0.0726121585	0.9822279223
178	0.07219548041	0.9825332845
179	0.07198006628	0.9827775742
180	0.07153990391	0.9827775742
181	0.07122855427	0.9835104434
182	0.07099079596	0.9835104434
183	0.0706573049	0.983876878
184	0.07011835947	0.9842433126
185	0.06984324575	0.9839990228
186	0.06952096229	0.9840600953
187	0.06900075665	0.984731892
188	0.06876498575	0.9850372542
189	0.06842658093	0.9849151093
190	0.06780249758	0.9859533407
191	0.06715134412	0.9858311958
192	0.06673918247	0.9863197753
193	0.06625797471	0.9862587028
194	0.0660208148	0.9864419201
195	0.0657145709	0.9866862098
196	0.0650544953	0.9866862098
197	0.0644966874	0.9870526444
198	0.06390337348	0.9873580066
199	0.06325318718	0.9874801515
200	0.06318308441	0.9876022963
201	0.06285355862	0.9877244412
202	0.06269247003	0.9878465861
203	0.06238263729	0.9880298033
204	0.06158845849	0.9886405277
205	0.06152085821	0.9887016001
206	0.06112889901	0.988823745
207	0.06065339005	0.9893123244
208	0.0603330723	0.9891291071
209	0.06007054489	0.9891901796
210	0.05951831163	0.9893733968
211	0.05915816638	0.9897398314
212	0.05874116164	0.9898619763
213	0.05850152882	0.990106266
214	0.05815164012	0.9901673385
215	0.05789065685	0.9903505558
216	0.05766115185	0.9904116282
217	0.05749856598	0.9905337731
218	0.05693288988	0.9907780628
219	0.05669757293	0.9909002076
220	0.05653529539	0.9909612801
221	0.05625641058	0.9910834249
222	0.05581763551	0.9913277147
223	0.05543660098	0.9914498595
224	0.05519062119	0.9916330768
225	0.05495810009	0.9917552217
226	0.05470781586	0.9917552217
227	0.05439082594	0.9920605839
228	0.05397389916	0.992365946
229	0.05371012447	0.9923048736
230	0.05320857001	0.9924880909
231	0.05287679929	0.9926102357
232	0.05229052499	0.9929155979
233	0.05221070919	0.9928545255
234	0.05208766468	0.9929155979
235	0.05190246786	0.9930988152
236	0.05162579898	0.9932209601
237	0.05126294636	0.9930988152
238	0.05102165231	0.9932209601
239	0.05090876769	0.9934041774
240	0.0507238475	0.9933431049
241	0.05040857125	0.9935263222
242	0.05003146304	0.9937095395
243	0.04987361693	0.9937706119
244	0.04962570507	0.9938316844
245	0.04934480375	0.9938927568
246	0.04894970606	0.9938927568
247	0.04876791684	0.9940759741
248	0.0484725965	0.9941370465
249	0.04821657795	0.9942591914
250	0.04813007663	0.9942591914
251	0.04796764376	0.9942591914
252	0.04777358273	0.994198119
253	0.04742937103	0.994198119
254	0.04704532288	0.9943202638
255	0.0465836311	0.9944424087
256	0.04638239928	0.9945034811
257	0.04609352592	0.9947477709
258	0.04573865626	0.9947477709
259	0.04560545475	0.9949309882
260	0.04535907799	0.9948699157
261	0.04468112764	0.9951142054
262	0.04449609348	0.9951752779
263	0.04441240608	0.9952363503
264	0.04437516814	0.9952974227
265	0.04410244074	0.9954195676
266	0.04392762822	0.9953584952
267	0.04370589896	0.99548064
268	0.04355789587	0.9956027849
269	0.04324717115	0.9953584952
270	0.04305068759	0.9953584952
271	0.04299491622	0.9953584952
272	0.04266513684	0.99548064
273	0.0424185385	0.9955417125
274	0.042287936	0.9956027849
275	0.04204825547	0.9956638573
276	0.04192841948	0.9957249298
277	0.04183570911	0.9957860022
278	0.04178037743	0.9956638573
279	0.04159573322	0.9956638573
280	0.04140640112	0.9957249298
281	0.04135882249	0.9957249298
282	0.04110221543	0.9959081471
283	0.04081622188	0.9959692195
284	0.04061772526	0.9960913644
285	0.04043603497	0.9960302919
286	0.04012809157	0.9960913644
287	0.03999100605	0.9961524368
288	0.03977283434	0.9961524368
289	0.03957489064	0.9962135092
290	0.03941847063	0.9962135092
291	0.03909775143	0.9963967265
292	0.03899233375	0.9963967265
293	0.03885826021	0.9963967265
294	0.03841091672	0.9965188714
295	0.03835078744	0.9964577989
296	0.03814672711	0.9965799438
297	0.03798242716	0.9966410162
298	0.03784816884	0.9967631611
299	0.03762000288	0.9968242335
300	0.03737138981	0.9968242335
301	0.03715679631	0.9970074508
302	0.03703854685	0.9970074508
303	0.03682088962	0.9970685233
304	0.03662527921	0.997312813
305	0.03644487724	0.9973738854
306	0.03638431809	0.997312813
307	0.03628716322	0.9973738854
308	0.0361767738	0.9973738854
309	0.03616212233	0.997312813
310	0.03592166498	0.9975571027
311	0.03561112715	0.9976181752
312	0.03544303937	0.9976181752
313	0.03513033459	0.9974960303
314	0.03498595335	0.9974960303
315	0.03485598642	0.9974960303
316	0.03464653463	0.99774032
317	0.03447941598	0.9978013925
318	0.03423711992	0.9978624649
319	0.03414054609	0.9979235373
320	0.03387080548	0.9980456822
321	0.03373935313	0.9981067546
322	0.03343152556	0.9979846097
323	0.03324297368	0.9979846097
324	0.03299950797	0.998167827
325	0.03297101757	0.998167827
326	0.03279244718	0.9982288995
327	0.03274451377	0.9982288995
328	0.03245054722	0.998167827
329	0.03205739803	0.9982288995
330	0.03190969271	0.9982288995
331	0.03179706478	0.9982899719
332	0.03162179817	0.9982288995
